file,class,old_vertices,new_vertices,old_faces,new_faces
ShapeDatabase/Tree/m1097.obj,Tree,35,6324,31,12240
ShapeDatabase/Tree/m1082.obj,Tree,82,10332,140,20640
ShapeDatabase/RectangleTable/m912.obj,RectangleTable,36,9610,60,19200
ShapeDatabase/RectangleTable/m870.obj,RectangleTable,48,17938,92,35872
ShapeDatabase/RectangleTable/m871.obj,RectangleTable,60,6014,184,11840
ShapeDatabase/RectangleTable/m905.obj,RectangleTable,48,12878,67,25372
ShapeDatabase/RectangleTable/m915.obj,RectangleTable,40,9034,60,18048
ShapeDatabase/RectangleTable/m874.obj,RectangleTable,68,7932,88,15392
ShapeDatabase/RectangleTable/m876.obj,RectangleTable,44,6338,52,12288
ShapeDatabase/RectangleTable/m888.obj,RectangleTable,36,14090,60,28160
ShapeDatabase/RectangleTable/m877.obj,RectangleTable,56,12126,84,24224
ShapeDatabase/RectangleTable/m917.obj,RectangleTable,96,16474,172,32928
ShapeDatabase/RectangleTable/D00421.obj,RectangleTable,95,7527,166,15030
ShapeDatabase/RectangleTable/D00188.obj,RectangleTable,80,6024,120,12008
ShapeDatabase/RectangleTable/m764.obj,RectangleTable,72,6060,121,11800
ShapeDatabase/RectangleTable/m919.obj,RectangleTable,78,8547,124,17024
ShapeDatabase/RectangleTable/m883.obj,RectangleTable,96,9226,172,18432
ShapeDatabase/RectangleTable/m894.obj,RectangleTable,80,7690,100,15112
ShapeDatabase/RectangleTable/m881.obj,RectangleTable,60,6379,86,12544
ShapeDatabase/RectangleTable/m895.obj,RectangleTable,80,7690,100,15112
ShapeDatabase/Cup/m500.obj,Cup,71,14178,138,28352
ShapeDatabase/Jet/m1231.obj,Jet,79,10187,130,19936
ShapeDatabase/Jet/m1300.obj,Jet,39,11816,76,23040
ShapeDatabase/Jet/m1301.obj,Jet,74,9340,144,18676
ShapeDatabase/BuildingNonResidential/m390.obj,BuildingNonResidential,40,12691,45,24352
ShapeDatabase/BuildingNonResidential/m392.obj,BuildingNonResidential,33,14178,80,28096
ShapeDatabase/Drum/D00709.obj,Drum,24,10320,132,20480
ShapeDatabase/Drum/D00115.obj,Drum,36,6402,204,12800
ShapeDatabase/Wheel/m746.obj,Wheel,80,13700,128,27008
ShapeDatabase/DeskLamp/D00378.obj,DeskLamp,69,8181,116,16273
