file,before_v,after_v,before_f,after_f
ShapeDatabase/Tree/m1097.obj,35,6324,31,12240
ShapeDatabase/Tree/m1082.obj,82,10332,140,20640
ShapeDatabase/RectangleTable/m912.obj,36,9610,60,19200
ShapeDatabase/RectangleTable/m870.obj,48,17938,92,35872
ShapeDatabase/RectangleTable/m871.obj,60,6012,184,11840
ShapeDatabase/RectangleTable/m905.obj,48,12748,67,25372
ShapeDatabase/RectangleTable/m915.obj,40,9034,60,18048
ShapeDatabase/RectangleTable/m874.obj,68,7928,88,15392
ShapeDatabase/RectangleTable/m876.obj,44,6338,52,12288
ShapeDatabase/RectangleTable/m888.obj,36,14090,60,28160
ShapeDatabase/RectangleTable/m877.obj,56,12126,84,24224
ShapeDatabase/RectangleTable/m917.obj,96,16474,172,32928
ShapeDatabase/RectangleTable/D00421.obj,95,7527,166,15030
ShapeDatabase/RectangleTable/D00188.obj,80,6024,120,12008
ShapeDatabase/RectangleTable/m764.obj,72,6060,121,11800
ShapeDatabase/RectangleTable/m919.obj,78,8547,124,17024
ShapeDatabase/RectangleTable/m883.obj,96,9226,172,18432
ShapeDatabase/RectangleTable/m894.obj,80,7690,100,15112
ShapeDatabase/RectangleTable/m881.obj,60,6379,86,12544
ShapeDatabase/RectangleTable/m895.obj,80,7690,100,15112
ShapeDatabase/Cup/m500.obj,71,14178,138,28352
ShapeDatabase/Jet/m1231.obj,79,10187,130,19936
ShapeDatabase/Jet/m1300.obj,39,11816,76,23040
ShapeDatabase/Jet/m1301.obj,74,9340,144,18676
ShapeDatabase/BuildingNonResidential/m390.obj,40,12691,45,24352
ShapeDatabase/BuildingNonResidential/m392.obj,33,14177,80,28096
ShapeDatabase/Drum/D00709.obj,24,10242,132,20480
ShapeDatabase/Drum/D00115.obj,36,6402,204,12800
ShapeDatabase/Wheel/m746.obj,80,13700,128,27008
ShapeDatabase/DeskLamp/D00378.obj,69,8180,116,16273
ShapeDatabase/DeskLamp/m611.obj,87,8736,200,17328
ShapeDatabase/DeskLamp/m606.obj,87,8713,145,17328
ShapeDatabase/Vase/m533.obj,32,6689,68,13312
ShapeDatabase/MultiSeat/m783.obj,66,16000,120,31944
ShapeDatabase/MultiSeat/m782.obj,40,11938,46,23296
ShapeDatabase/MultiSeat/m778.obj,46,6460,90,12880
ShapeDatabase/MultiSeat/m784.obj,24,11654,36,23296
ShapeDatabase/MultiSeat/m836.obj,28,16290,44,32128
ShapeDatabase/MultiSeat/m840.obj,94,12122,180,23940
ShapeDatabase/MultiSeat/m841.obj,36,19314,68,38624
ShapeDatabase/NonWheelChair/m793.obj,81,9039,98,17344
ShapeDatabase/NonWheelChair/m818.obj,76,7126,120,14176
ShapeDatabase/NonWheelChair/m827.obj,88,7062,132,14080
ShapeDatabase/Bird/m50.obj,93,15010,182,30016
ShapeDatabase/Bird/m43.obj,41,4936,54,9552
ShapeDatabase/RoundTable/m933.obj,55,7806,100,15600
ShapeDatabase/RoundTable/m931.obj,54,8074,88,16128
ShapeDatabase/RoundTable/m937.obj,72,14978,140,29952
ShapeDatabase/RoundTable/m922.obj,54,8074,88,16128
ShapeDatabase/PlantIndoors/m1032.obj,96,10518,156,21000
ShapeDatabase/Gun/m651.obj,91,10332,130,20352
ShapeDatabase/House/m434.obj,22,9235,26,18048
ShapeDatabase/House/m423.obj,35,10286,48,20240
